Date,BAC,JPM,Residual,Rolling_Hedge_Ratio,Spread,Z_Score,Signal,PNL,Equity,DrawDown_%
2014-01-02,12.895573616027832,43.062950134277344,-6.847957718010015,0.0,43.062950134277344,,0,0.0,100000.0,0.0
2014-01-03,13.14387321472168,43.3958625793457,-7.462196088215322,0.0,43.3958625793457,,0,0.0,100000.0,0.0
2014-01-06,13.344114303588867,43.64738082885742,-7.974507146400917,0.0,43.64738082885742,,0,0.0,100000.0,0.0
2014-01-07,13.215960502624512,43.14434051513672,-7.988698594870449,0.0,43.14434051513672,,0,0.0,100000.0,0.0
2014-01-08,13.280037879943848,43.55121612548828,-7.82624923606285,0.0,43.55121612548828,,0,0.0,100000.0,0.0
2014-01-09,13.480277061462402,43.46982955932617,-8.671457834248763,0.0,43.46982955932617,,0,0.0,100000.0,0.0
2014-01-10,13.432222366333008,43.27009963989258,-8.687880797453026,0.0,43.27009963989258,,0,0.0,100000.0,0.0
2014-01-13,13.159891128540039,42.68566131591797,-8.233498457773912,0.0,42.68566131591797,,0,0.0,100000.0,0.0
2014-01-14,13.432222366333008,42.71527099609375,-9.242709441251854,0.0,42.71527099609375,,0,0.0,100000.0,0.0
2014-01-15,13.736593246459961,44.0098762512207,-9.109141613387365,0.0,44.0098762512207,,0,0.0,100000.0,0.0
2014-01-16,13.680520057678223,43.63998794555664,-9.265136031389119,0.0,43.63998794555664,,0,0.0,100000.0,0.0
2014-01-17,13.624451637268066,42.98896789550781,-9.702280382959415,0.0,42.98896789550781,,0,0.0,100000.0,0.0
2014-01-21,13.624451637268066,43.033355712890625,-9.657892565576603,0.0,43.033355712890625,,0,0.0,100000.0,0.0
2014-01-22,13.736593246459961,42.60429000854492,-10.514727856063146,0.0,42.60429000854492,,0,0.0,100000.0,0.0
2014-01-23,13.50430965423584,41.775718688964844,-10.45724219082691,0.0,41.775718688964844,,0,0.0,100000.0,0.0
2014-01-24,13.175914764404297,40.75481414794922,-10.22546855889405,0.0,40.75481414794922,,0,0.0,100000.0,0.0
2014-01-27,13.063776969909668,40.75481414794922,-9.797713524100232,0.0,40.75481414794922,,0,0.0,100000.0,0.0
2014-01-28,13.400182723999023,41.235694885253906,-10.600068788482965,0.0,41.235694885253906,,0,0.0,100000.0,0.0
2014-01-29,13.36013412475586,41.08032989501953,-10.602666462043175,0.0,41.08032989501953,,0,0.0,100000.0,0.0
2014-01-30,13.56037712097168,41.42802429199219,-11.018808648441343,0.0,41.42802429199219,,0,0.0,100000.0,0.0
2014-01-31,13.416204452514648,40.95456314086914,-10.942316190345608,0.0,40.95456314086914,,0,0.0,100000.0,0.0
2014-02-03,13.095820426940918,40.17777633666992,-10.496982650335283,0.0,40.17777633666992,,0,0.0,100000.0,0.0
2014-02-04,13.095820426940918,40.65126037597656,-10.023498611028643,0.0,40.65126037597656,,0,0.0,100000.0,0.0
2014-02-05,13.13586139678955,40.843597412109375,-9.98389978887596,0.0,40.843597412109375,,0,0.0,100000.0,0.0
2014-02-06,13.368146896362305,41.78313064575195,-9.930430815723199,0.0,41.78313064575195,,0,0.0,100000.0,0.0
2014-02-07,13.472267150878906,41.886695861816406,-10.224037340856349,0.0,41.886695861816406,,0,0.0,100000.0,0.0
2014-02-10,13.39217472076416,41.97547149658203,-9.829745261926163,0.0,41.97547149658203,,0,0.0,100000.0,0.0
2014-02-11,13.520325660705566,42.48591613769531,-9.808138572553787,0.0,42.48591613769531,,0,0.0,100000.0,0.0
2014-02-12,13.416204452514648,42.552486419677734,-9.344392911537014,0.0,42.552486419677734,,0,0.0,100000.0,0.0
2014-02-13,13.416204452514648,42.929786682128906,-8.967092649085842,0.0,42.929786682128906,,0,0.0,100000.0,0.0
2014-02-14,13.376155853271484,43.0185546875,-8.725557327040583,0.0,43.0185546875,,0,0.0,100000.0,0.0
2014-02-18,13.191932678222656,43.27009963989258,-7.771284173081547,0.0,43.27009963989258,,0,0.0,100000.0,0.0
2014-02-19,12.975669860839844,42.36014938354492,-7.8562894642540115,0.0,42.36014938354492,,0,0.0,100000.0,0.0
2014-02-20,13.055767059326172,42.59689712524414,-7.925076355903123,0.0,42.59689712524414,,0,0.0,100000.0,0.0
2014-02-21,13.047760963439941,42.61907958984375,-7.872354251748348,0.0,42.61907958984375,,0,0.0,100000.0,0.0
2014-02-24,13.239990234375,42.929786682128906,-8.294915000584815,0.0,42.929786682128906,,0,0.0,100000.0,0.0
2014-02-25,13.08780574798584,42.190006256103516,-8.454180350815733,0.0,42.190006256103516,,0,0.0,100000.0,0.0
2014-02-26,13.079797744750977,41.98286056518555,-8.630779126505026,0.0,41.98286056518555,,0,0.0,100000.0,0.0
2014-02-27,13.207952499389648,41.9384765625,-9.164015632278492,0.0,41.9384765625,,0,0.0,100000.0,0.0
2014-02-28,13.239990234375,42.03465270996094,-9.190048972752784,0.0,42.03465270996094,,0,0.0,100000.0,0.0
2014-03-03,13.055767059326172,41.58338165283203,-8.938591828315232,0.0,41.58338165283203,,0,0.0,100000.0,0.0
2014-03-04,13.400182723999023,42.36014938354492,-9.475614290191949,0.0,42.36014938354492,,0,0.0,100000.0,0.0
2014-03-05,13.824947357177734,43.025970458984375,-10.430078429593657,0.0,43.025970458984375,,0,0.0,100000.0,0.0
2014-03-06,13.905092239379883,43.57341003417969,-10.1883553795844,0.0,43.57341003417969,,0,0.0,100000.0,0.0
2014-03-07,13.889062881469727,43.94329833984375,-9.757322313748425,0.0,43.94329833984375,,0,0.0,100000.0,0.0
2014-03-10,14.001265525817871,43.795352935791016,-10.333270125494295,0.0,43.795352935791016,,0,0.0,100000.0,0.0
2014-03-11,13.840974807739258,43.048160552978516,-10.469025820097919,0.0,43.048160552978516,,0,0.0,100000.0,0.0
2014-03-12,13.848995208740234,42.84842300415039,-10.699357576032526,0.0,42.84842300415039,,0,0.0,100000.0,0.0
2014-03-13,13.752817153930664,42.478515625,-10.702389118477925,0.0,42.478515625,,0,0.0,100000.0,0.0
2014-03-14,13.464298248291016,42.019859313964844,-10.060476124786177,0.0,42.019859313964844,,0,0.0,100000.0,0.0
2014-03-17,13.712745666503906,42.59689712524414,-10.431152993477511,0.0,42.59689712524414,,0,0.0,100000.0,0.0
2014-03-18,13.776866912841797,42.951988220214844,-10.320655490541483,0.0,42.951988220214844,,0,0.0,100000.0,0.0
2014-03-19,13.977230072021484,43.1295280456543,-10.907410615903935,0.0,43.1295280456543,,0,0.0,100000.0,0.0
2014-03-20,14.361923217773438,44.468563079833984,-11.035806171809128,0.0,44.468563079833984,,0,0.0,100000.0,0.0
2014-03-21,14.073394775390625,44.51293182373047,-9.890831744818193,0.0,44.51293182373047,,0,0.0,100000.0,0.0
2014-03-24,13.921128273010254,45.17873764038086,-8.64419799841243,0.0,45.17873764038086,,0,0.0,100000.0,0.0
2014-03-25,13.792890548706055,45.0751838684082,-8.258582775499505,0.0,45.0751838684082,,0,0.0,100000.0,0.0
2014-03-26,13.768853187561035,44.31319046020508,-8.928884508302048,0.0,44.31319046020508,,0,0.0,100000.0,0.0
2014-03-27,13.632599830627441,44.32799530029297,-8.394334655405864,0.0,44.32799530029297,,0,0.0,100000.0,0.0
2014-03-28,13.608560562133789,44.416770935058594,-8.213860069566145,0.0,44.416770935058594,,0,0.0,100000.0,0.0
2014-03-31,13.784883499145508,44.91242218017578,-8.390801186340013,0.0,44.91242218017578,,0,0.0,100000.0,0.0
2014-04-01,13.897077560424805,44.8828239440918,-8.848369089586335,0.0,44.8828239440918,,0,0.0,100000.0,0.0
2014-04-02,13.808924674987793,45.02426528930664,-8.370664303956758,0.0,45.02426528930664,,0,0.0,100000.0,0.0
2014-04-03,13.7448091506958,45.15827941894531,-7.992078409303936,0.0,45.15827941894531,,0,0.0,100000.0,0.0
2014-04-04,13.40018367767334,44.52548599243164,-7.3102813191419855,0.0,44.52548599243164,,0,0.0,100000.0,0.0
2014-04-07,13.127691268920898,43.92249298095703,-6.873838872551339,0.0,43.92249298095703,,0,0.0,100000.0,0.0
2014-04-08,13.175779342651367,43.81081771850586,-7.168948415518251,0.0,43.81081771850586,,0,0.0,100000.0,0.0
